symbol,venue,strategy,tau_sec,forecast_kind,split,pnl_all_bps,pnl_kept_bps,pnl_filtered_bps,score_bps,winrate_kept,winrate_all,maxdd_kept_bps,turnover_kept_usd_day,turnover_all_usd_day,n_trades,n_kept,n_filtered,kept_frac,meets_turnover_constraint,n_days,source
ethusdt,binance,kalman_30s,300,kalman,train_50_test_50,0.2267707834024644,-0.6089068858224713,0.895166896192956,-0.8356776692249357,0.4861121726897312,,30.389798039560063,5427783696.201081,12213995556.95168,442557313,208494528,234062785,0.4711130555874466,True,46.122982685185185,liquidation_task_pnl_report
ethusdt,binance,kalman_300s,30,kalman,train_50_test_50,0.0203349642301531,-0.2395407711480804,0.2454993797083691,-0.2598757353782336,0.4835879226973694,,12.174365980609233,5669957932.384794,12213995915.085926,442557327,215077131,227480196,0.4859870527010843,True,46.122982685185185,liquidation_task_pnl_report
ethusdt,binance,kalman_300s,120,kalman,train_50_test_50,0.1097446049574742,-0.5724586598770263,0.7008267201854468,-0.6822032648345004,0.4772175196999443,,27.952815051379865,5669957932.384794,12213995915.085926,442557327,215077131,227480196,0.4859870527010843,True,46.122982685185185,liquidation_task_pnl_report
ethusdt,binance,kalman_300s,300,kalman,train_50_test_50,0.2267707834024644,-0.3614851963471906,0.7364540531635857,-0.588255979749655,0.4751605989006939,,27.630091871544696,5669957782.353448,12213995556.95168,442557313,215077126,227480187,0.4859870567769829,True,46.122982685185185,liquidation_task_pnl_report
ethusdt,binance,lgbm_nk_30s,30,lgbm_nk,train_50_test_50,0.0203349642301531,0.2384901115095959,-0.2134381600120091,0.2181551472794427,0.5086258322154628,,2.2515160991790135,6318046832.823884,12213995915.085926,442557327,202344534,240212793,0.4572165494844468,True,46.122982685185185,liquidation_task_pnl_report
ethusdt,binance,lgbm_nk_30s,120,lgbm_nk,train_50_test_50,0.1097446049574742,0.6797348946297463,-0.50105194266512,0.5699902896722722,0.5122820861570692,,3.69568332450919,6318046832.823884,12213995915.085926,442557327,202344534,240212793,0.4572165494844468,True,46.122982685185185,liquidation_task_pnl_report
ethusdt,binance,lgbm_nk_30s,300,lgbm_nk,train_50_test_50,0.2267707834024644,0.942640437080763,-0.5403487933017267,0.7158696536782986,0.5154106788903727,,5.299008985259793,6318046624.720978,12213995556.95168,442557313,202344525,240212788,0.4572165436118327,True,46.122982685185185,liquidation_task_pnl_report
ethusdt,binance,lgbm_nk_300s,30,lgbm_nk,train_50_test_50,0.0203349642301531,-0.0054887353132579,0.0480155430146314,-0.025823699543411,0.5084993395057161,,3.7227731940693065,6318942835.354536,12213995915.085926,442557327,218633989,223923338,0.4940241086551935,True,46.122982685185185,liquidation_task_pnl_report
ethusdt,binance,lgbm_nk_300s,120,lgbm_nk,train_50_test_50,0.1097446049574742,0.4788275016177871,-0.2858775707820949,0.3690828966603128,0.5147591758937353,,4.9888235295784575,6318942835.354536,12213995915.085926,442557327,218633989,223923338,0.4940241086551935,True,46.122982685185185,liquidation_task_pnl_report
ethusdt,binance,lgbm_nk_300s,300,lgbm_nk,train_50_test_50,0.2267707834024644,0.991268424469056,-0.5926988778531276,0.7644976410665916,0.5174203681097429,,7.830872881098514,6318942813.376736,12213995556.95168,442557313,218633985,223923328,0.4940241152449333,True,46.122982685185185,liquidation_task_pnl_report
ethusdt,binance,lgbm_full_30s,30,lgbm_full,train_50_test_50,0.0203349642301531,0.1572442083523522,-0.1273548096559605,0.136909244122199,0.5063320260806402,,2.735892648908784,6338329301.235571,12213995915.085926,442557327,202855450,239701877,0.458371012350226,True,46.122982685185185,liquidation_task_pnl_report
ethusdt,binance,lgbm_full_30s,120,lgbm_full,train_50_test_50,0.1097446049574742,0.5278669536411369,-0.3413016010876327,0.4181223486836626,0.5082989389735401,,4.052102594441148,6338329301.235571,12213995915.085926,442557327,202855450,239701877,0.458371012350226,True,46.122982685185185,liquidation_task_pnl_report
ethusdt,binance,lgbm_full_30s,300,lgbm_full,train_50_test_50,0.2267707834024644,0.7729587987933365,-0.3624252861489168,0.5461880153908721,0.5111780734103064,,6.326463445451182,6338329267.70326,12213995556.95168,442557313,202855440,239701873,0.4583710042545382,True,46.122982685185185,liquidation_task_pnl_report
ethusdt,binance,ensemble_30s,30,ensemble,train_50_test_50,0.0203349642301531,0.2384901115095959,-0.2134381600120091,0.2181551472794427,0.5086258322154628,,2.2515160991790135,6318046832.823884,12213995915.085926,442557327,202344534,240212793,0.4572165494844468,True,46.122982685185185,liquidation_task_pnl_report
ethusdt,binance,ensemble_30s,120,ensemble,train_50_test_50,0.1097446049574742,0.6797348946297463,-0.50105194266512,0.5699902896722722,0.5122820861570692,,3.69568332450919,6318046832.823884,12213995915.085926,442557327,202344534,240212793,0.4572165494844468,True,46.122982685185185,liquidation_task_pnl_report
ethusdt,binance,ensemble_30s,300,ensemble,train_50_test_50,0.2267707834024644,0.942640437080763,-0.5403487933017267,0.7158696536782986,0.5154106788903727,,5.299008985259793,6318046624.720978,12213995556.95168,442557313,202344525,240212788,0.4572165436118327,True,46.122982685185185,liquidation_task_pnl_report
