symbol,split,tau_sec,strategy,pnl_all_bps,pnl_kept_bps,pnl_filtered_bps,score_bps,turnover_kept_usd_day,turnover_all_usd_day,n_trades,n_kept,n_filtered,kept_frac,winrate_kept,meets_turnover_constraint,n_days,daily_mean_score_bps,daily_std_score_bps,daily_hit_frac,score_se_bps,score_ci95_low_bps,score_ci95_high_bps,threshold
btcusdt,official_train_dec_jan_test_feb,30,baseline_keep_all,-0.26515858729202757,-0.26515858729202757,NaN,0.0,84526036.11569999,84526036.11569999,50000,50000,0,1.0,0.47542,true,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
btcusdt,official_train_dec_jan_test_feb,30,heuristic_bybit_flow,-0.26515858729202757,-0.3624242211763364,1.2943838763387723,-0.09726563388430881,79563796.6778,84526036.11569999,50000,47877,2123,0.95754,0.4594481692670802,true,1.0,-0.09726563388430881,0.0,0.0,0.02209275475525592,-0.14341360646658013,-0.05413358293536748,950.8512000000001
btcusdt,official_train_dec_jan_test_feb,30,ml_logistic_toxic,-0.26515858729202757,0.7597092368726578,-0.6052050091425848,1.0248678241646854,21058301.8078,84526036.11569999,50000,12486,37514,0.24972,0.5937850392439532,true,1.0,1.0248678241646854,0.0,1.0,0.13472724649674112,0.7675907275060392,1.2882339730120396,0.48944069514415295
btcusdt,official_train_dec_jan_test_feb,120,baseline_keep_all,-2.2597701771363896,-2.2597701771363896,NaN,0.0,84526036.11569999,84526036.11569999,50000,50000,0,1.0,0.43382,true,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
btcusdt,official_train_dec_jan_test_feb,120,heuristic_bybit_flow,-2.2597701771363896,-2.2597701771363896,NaN,0.0,84526036.11569999,84526036.11569999,50000,50000,0,1.0,0.43382,true,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2668.898
btcusdt,official_train_dec_jan_test_feb,120,ml_logistic_toxic,-2.2597701771363896,-1.0838827758130267,-2.4330121103130606,1.175887401323363,10854003.0418,84526036.11569999,50000,5444,44556,0.10888,0.50165319617928,true,1.0,1.175887401323363,0.0,1.0,0.5519044156163221,0.1775318500320069,2.303949412196162,0.25256459199590375
btcusdt,official_train_dec_jan_test_feb,300,baseline_keep_all,-5.476992261494634,-5.476992261494634,NaN,0.0,84526036.11569999,84526036.11569999,50000,50000,0,1.0,0.4321,true,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
btcusdt,official_train_dec_jan_test_feb,300,heuristic_bybit_flow,-5.476992261494634,-5.476992261494634,NaN,0.0,84526036.11569999,84526036.11569999,50000,50000,0,1.0,0.4321,true,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2668.898
btcusdt,official_train_dec_jan_test_feb,300,ml_logistic_toxic,-5.476992261494634,-5.665854468970197,-5.464380047314446,-0.18886220747556326,5291294.361500001,84526036.11569999,50000,2609,47391,0.05218,0.4894595630509774,true,1.0,-0.18886220747556326,0.0,0.0,1.6690254877657804,-3.224617972515251,3.0723976018624413,0.49759496193456554
ethusdt,official_train_dec_jan_test_feb,30,baseline_keep_all,0.3450794741609514,0.3450794741609514,NaN,0.0,38650692.83339,38650692.83339,50000,50000,0,1.0,0.4747,true,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
ethusdt,official_train_dec_jan_test_feb,30,heuristic_bybit_flow,0.3450794741609514,-1.794095515495667,3.237292546232385,-2.1391749896566186,22217733.4934,38650692.83339,50000,33289,16711,0.66578,0.4397548739823966,true,1.0,-2.1391749896566186,0.0,0.0,0.1825373048782883,-2.492438469472812,-1.7989718408996205,24.2927
ethusdt,official_train_dec_jan_test_feb,30,ml_logistic_toxic,0.3450794741609514,3.8208670169959538,-1.4729586822147804,3.4757875428350022,13273658.47197,38650692.83339,50000,11803,38197,0.23606,0.5875624841142083,true,1.0,3.4757875428350022,0.0,1.0,0.2558160806305928,2.971103548204669,3.9435672666859287,0.17442587726642086
ethusdt,official_train_dec_jan_test_feb,120,baseline_keep_all,-0.868075202117956,-0.868075202117956,NaN,0.0,38650692.83339,38650692.83339,50000,50000,0,1.0,0.5068,true,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
ethusdt,official_train_dec_jan_test_feb,120,heuristic_bybit_flow,-0.868075202117956,-6.3013513367011855,6.47783728124453,-5.433276134583229,22217733.4934,38650692.83339,50000,33289,16711,0.66578,0.4705458259485115,true,1.0,-5.433276134583229,0.0,0.0,0.4249345881226149,-6.234320477803066,-4.6465627473548885,24.2927
ethusdt,official_train_dec_jan_test_feb,120,ml_logistic_toxic,-0.868075202117956,-0.26504396404301855,-0.9241993511610997,0.6030312380749374,3290934.56201,38650692.83339,50000,5626,44374,0.11252,0.5017774617845716,true,1.0,0.6030312380749374,0.0,1.0,0.9405977811397016,-1.2852236184505172,2.4796789854639467,0.48228648717730027
ethusdt,official_train_dec_jan_test_feb,300,baseline_keep_all,-0.008739405467213864,-0.008739405467213864,NaN,0.0,38650692.83339,38650692.83339,50000,50000,0,1.0,0.51318,true,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
ethusdt,official_train_dec_jan_test_feb,300,heuristic_bybit_flow,-0.008739405467213864,-3.251246727958613,4.37520398847754,-3.242507322491399,22217733.4934,38650692.83339,50000,33289,16711,0.66578,0.4742407401844453,true,1.0,-3.242507322491399,0.0,0.0,0.30438128805465287,-3.823935394787346,-2.6035301203124606,24.2927
ethusdt,official_train_dec_jan_test_feb,300,ml_logistic_toxic,-0.008739405467213864,2.856692798912312,-4.363146034380867,2.865432204379526,23310885.044930004,38650692.83339,50000,27514,22486,0.55028,0.5463763902013521,true,1.0,2.865432204379526,0.0,1.0,0.3077842803718803,2.2227309476703367,3.4068945089356553,0.4943784556160065
